Epoch 001 | Loss: 0.5846 | Val AUC: 0.8091 | Val AP: 0.7841
Epoch 002 | Loss: 0.5588 | Val AUC: 0.8216 | Val AP: 0.7968
Epoch 003 | Loss: 0.5496 | Val AUC: 0.8269 | Val AP: 0.8013
Epoch 004 | Loss: 0.5446 | Val AUC: 0.8306 | Val AP: 0.8083
Epoch 005 | Loss: 0.5404 | Val AUC: 0.8358 | Val AP: 0.8126
Epoch 006 | Loss: 0.5368 | Val AUC: 0.8380 | Val AP: 0.8139
Epoch 007 | Loss: 0.5338 | Val AUC: 0.8400 | Val AP: 0.8153
Epoch 008 | Loss: 0.5314 | Val AUC: 0.8418 | Val AP: 0.8179
Epoch 009 | Loss: 0.5292 | Val AUC: 0.8447 | Val AP: 0.8217
Epoch 010 | Loss: 0.5268 | Val AUC: 0.8435 | Val AP: 0.8193
Epoch 011 | Loss: 0.5248 | Val AUC: 0.8480 | Val AP: 0.8245
Epoch 012 | Loss: 0.5231 | Val AUC: 0.8482 | Val AP: 0.8242
Epoch 013 | Loss: 0.5213 | Val AUC: 0.8503 | Val AP: 0.8267
Epoch 014 | Loss: 0.5199 | Val AUC: 0.8524 | Val AP: 0.8300
Epoch 015 | Loss: 0.5182 | Val AUC: 0.8514 | Val AP: 0.8277
Epoch 016 | Loss: 0.5169 | Val AUC: 0.8534 | Val AP: 0.8304
Epoch 001 | Loss: 0.5105 | Val AUC: 0.8583 | Val AP: 0.8349
Epoch 002 | Loss: 0.5095 | Val AUC: 0.8596 | Val AP: 0.8370
Epoch 003 | Loss: 0.5087 | Val AUC: 0.8602 | Val AP: 0.8375
Epoch 004 | Loss: 0.5081 | Val AUC: 0.8597 | Val AP: 0.8358
Epoch 005 | Loss: 0.5071 | Val AUC: 0.8600 | Val AP: 0.8360
Epoch 006 | Loss: 0.5066 | Val AUC: 0.8612 | Val AP: 0.8381
Epoch 001 | Loss: 0.5060 | Val AUC: 0.8616 | Val AP: 0.8384
Epoch 001 | Loss: 0.4996 | Val AUC: 0.8648 | Val AP: 0.8420
Epoch 002 | Loss: 0.4982 | Val AUC: 0.8654 | Val AP: 0.8425
Epoch 003 | Loss: 0.4977 | Val AUC: 0.8658 | Val AP: 0.8429
Epoch 001 | Loss: 0.4967 | Val AUC: 0.8664 | Val AP: 0.8433
Epoch 002 | Loss: 0.4965 | Val AUC: 0.8667 | Val AP: 0.8441
Epoch 003 | Loss: 0.4961 | Val AUC: 0.8665 | Val AP: 0.8436
Epoch 004 | Loss: 0.4959 | Val AUC: 0.8669 | Val AP: 0.8442
Epoch 005 | Loss: 0.4957 | Val AUC: 0.8668 | Val AP: 0.8438
Epoch 001 | Loss: 0.4949 | Val AUC: 0.8671 | Val AP: 0.8440
Epoch 002 | Loss: 0.4946 | Val AUC: 0.8675 | Val AP: 0.8448
Epoch 003 | Loss: 0.4942 | Val AUC: 0.8674 | Val AP: 0.8442
Epoch 004 | Loss: 0.4942 | Val AUC: 0.8676 | Val AP: 0.8448
Epoch 005 | Loss: 0.4940 | Val AUC: 0.8678 | Val AP: 0.8452
Epoch 006 | Loss: 0.4938 | Val AUC: 0.8678 | Val AP: 0.8452
Epoch 001 | Loss: 0.4938 | Val AUC: 0.8681 | Val AP: 0.8455
Epoch 002 | Loss: 0.4937 | Val AUC: 0.8679 | Val AP: 0.8451
Epoch 003 | Loss: 0.4935 | Val AUC: 0.8682 | Val AP: 0.8457
Epoch 004 | Loss: 0.4934 | Val AUC: 0.8681 | Val AP: 0.8453
Epoch 005 | Loss: 0.4934 | Val AUC: 0.8682 | Val AP: 0.8453
Epoch 006 | Loss: 0.4931 | Val AUC: 0.8684 | Val AP: 0.8456
Epoch 007 | Loss: 0.4931 | Val AUC: 0.8684 | Val AP: 0.8457
Epoch 001 | Loss: 0.4924 | Val AUC: 0.8687 | Val AP: 0.8461
Epoch 002 | Loss: 0.4921 | Val AUC: 0.8688 | Val AP: 0.8462
Epoch 003 | Loss: 0.4920 | Val AUC: 0.8688 | Val AP: 0.8462
Epoch 004 | Loss: 0.4920 | Val AUC: 0.8689 | Val AP: 0.8462
Epoch 005 | Loss: 0.4919 | Val AUC: 0.8690 | Val AP: 0.8465
